marketTick;assetId;buyQuote;sellQuote;date;time
0;ROSE-USD;0.3793043;0.3793043;2022-02-07 21:20:00;1644268919
0;OMG-USD;5.3756385;5.3756385;2022-02-07 21:20:00;1644268919
0;VGX-USD;2.1414015;2.1414015;2022-02-07 21:20:00;1644268919
0;YFI-USD;26791.096;26791.096;2022-02-07 21:20:00;1644268919
0;RVN-USD;0.07807969;0.07807969;2022-02-07 21:20:00;1644268919
0;ZIL-USD;0.05674163;0.05674163;2022-02-07 21:20:00;1644268919
0;OMI-USD;0.007174284;0.007174284;2022-02-07 21:20:00;1644268919
0;BTG-USD;36.525608;36.525608;2022-02-07 21:20:00;1644268919
0;STORJ-USD;1.3748496;1.3748496;2022-02-07 21:20:00;1644268919
0;CEL-USD;3.1404395;3.1404395;2022-02-07 21:20:00;1644268919
0;ZRX-USD;0.67564905;0.67564905;2022-02-07 21:20:00;1644268919
0;CCXX-USD;57.290638;57.290638;2022-02-07 21:20:00;1644268919
0;BNT-USD;2.8247452;2.8247452;2022-02-07 21:20:00;1644268919
0;SUSHI-USD;4.8620906;4.8620906;2022-02-07 21:20:00;1644268919
0;UMA-USD;6.6275706;6.6275706;2022-02-07 21:20:00;1644268919
0;DFI-USD;3.31294;3.31294;2022-02-07 21:20:00;1644268919
0;SNX-USD;5.831346;5.831346;2022-02-07 21:20:00;1644268919
0;VLX-USD;0.30284414;0.30284414;2022-02-07 21:20:00;1644268919
0;BTC-USD;44040.785;44040.785;2022-02-08 02:31:00;1644287606
0;ETH-USD;3148.8481;3148.8481;2022-02-08 02:31:00;1644287606
0;BNB-USD;434.36633;434.36633;2022-02-08 02:31:00;1644287606
0;USDT-USD;1.0006198;1.0006198;2022-02-08 02:31:00;1644287606
0;SOL1-USD;0.8282712;0.8282712;2022-02-08 02:30:00;1644287606
0;ADA-USD;1.2398434;1.2398434;2022-02-08 02:31:00;1644287606
0;XRP-USD;0.85971993;0.85971993;2022-02-08 02:31:00;1644287606
0;USDC-USD;0.9998019;0.9998019;2022-02-08 02:31:00;1644287606
0;DOT1-USD;24.87994;24.87994;2021-12-17 21:56:07;1644287606
0;HEX-USD;0.21309362;0.21309362;2022-02-08 02:31:00;1644287606
0;DOGE-USD;0.16397895;0.16397895;2022-02-08 02:31:00;1644287606
0;AVAX-USD;83.4414;83.4414;2022-02-08 02:31:00;1644287606
0;SHIB-USD;3.2505155E-5;3.2505155E-5;2022-02-08 02:31:00;1644287606
0;CRO-USD;0.49538234;0.49538234;2022-02-08 02:31:00;1644287606
0;LUNA1-USD;59.01578;59.01578;2022-02-08 02:31:00;1644287606
0;LTC-USD;137.8641;137.8641;2022-02-08 02:31:00;1644287606
0;UNI3-USD;14.699384;14.699384;2021-12-17 21:56:12;1644287606
0;MATIC-USD;2.009774;2.009774;2022-02-08 02:31:00;1644287606
0;LINK-USD;18.951262;18.951262;2022-02-08 02:31:00;1644287606
0;BCH-USD;348.20312;348.20312;2022-02-08 02:31:00;1644287606
0;ALGO-USD;1.0765734;1.0765734;2022-02-08 02:31:00;1644287606
0;MANA-USD;3.2820594;3.2820594;2022-02-08 02:31:00;1644287606
0;XLM-USD;0.24796262;0.24796262;2022-02-08 02:31:00;1644287606
0;EGLD-USD;177.93214;177.93214;2022-02-08 02:31:00;1644287606
0;AXS-USD;67.372475;67.372475;2022-02-08 02:31:00;1644287606
0;VET-USD;0.06754081;0.06754081;2022-02-08 02:31:00;1644287606
0;ICP1-USD;23.806871;23.806871;2021-12-17 21:56:09;1644287606
0;FIL-USD;25.059294;25.059294;2022-02-08 02:31:00;1644287606
0;FTT1-USD;37.491173;37.491173;2021-12-17 21:57:03;1644287606
0;TRX-USD;0.06904327;0.06904327;2022-02-08 02:31:00;1644287606
